Dataset,Model,GUser,GItem,Type,User_EPS,Item_EPS,ndcg_ALL,ndcg_ACT,ndcg_INACT,Pre_ALL,Pre_ACT,Pre_INACT,Rec_ALL,Rec_ACT,Rec_INACT,Nov_ALL,Nov_ACT,Nov_INACT,Cov_ALL,Cov_ACT,Cov_INACT,Short_Items,Long_Items,All_Items
AmazonOffice,VAECF,5%,20%,N,-,-,0.01744,0.05165,0.01545,0.01614,0.04836,0.01427,0.0435,0.05501,0.04283,5.58545,5.37298,5.59781,22.13,13.73,21.82,18991,5489,24480==24480.0
AmazonOffice,VAECF,5%,20%,C,0.003,-,0.0176,0.03715,0.01646,0.0161,0.03361,0.01508,0.04501,0.03899,0.04536,5.59205,5.36085,5.60551,22.01,13.86,21.76,19007,5473,24480==24480.0
AmazonOffice,VAECF,5%,20%,C,0.00005,-,0.01739,0.05051,0.01547,0.0161,0.04754,0.01427,0.04346,0.05419,0.04283,5.58539,5.37361,5.59772,22.01,13.73,21.69,18992,5488,24480==24480.0
AmazonOffice,VAECF,5%,20%,P,-,0.003,0.01689,0.049,0.01502,0.01551,0.04508,0.01379,0.042,0.05108,0.04147,5.70162,5.55769,5.71,23.07,14.29,22.26,16321,8159,24480==24480.0
AmazonOffice,VAECF,5%,20%,P,-,0.0005,0.01713,0.051,0.01516,0.01592,0.04754,0.01407,0.04297,0.05398,0.04233,5.64817,5.41457,5.66177,22.76,14.73,22.32,17628,6852,24480==24480.0
AmazonOffice,VAECF,5%,20%,P,-,0.0001,0.01731,0.05173,0.01531,0.01605,0.04836,0.01417,0.04301,0.05501,0.04232,5.60662,5.38332,5.61962,22.45,14.04,22.07,18531,5949,24480==24480.0
AmazonOffice,VAECF,5%,20%,P,-,0.00005,0.01725,0.05165,0.01525,0.01601,0.04836,0.01412,0.0429,0.05501,0.0422,5.59921,5.37851,5.61205,22.26,13.92,21.94,18701,5779,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.003,0.003,0.01682,0.03141,0.01597,0.01537,0.02869,0.0146,0.04296,0.03448,0.04346,5.70796,5.53267,5.71816,23.01,14.61,22.19,16350,8130,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.003,0.0005,0.01718,0.03659,0.01605,0.01578,0.03279,0.01479,0.04379,0.03796,0.04413,5.65428,5.37688,5.67042,22.63,14.23,22.26,17646,6834,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.003,0.0001,0.01734,0.03715,0.01619,0.01596,0.03361,0.01493,0.04398,0.03899,0.04427,5.61338,5.36165,5.62804,22.32,13.92,22.07,18554,5926,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.003,0.00005,0.01731,0.03715,0.01616,0.01592,0.03361,0.01489,0.04389,0.03899,0.04417,5.60641,5.36085,5.6207,22.26,13.86,22.01,18713,5767,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.003,0.000005,0.01754,0.03715,0.0164,0.01605,0.03361,0.01503,0.04456,0.03899,0.04489,5.59349,5.36085,5.60703,22.01,13.86,21.76,18974,5506,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.0005,0.003,0.01675,0.04403,0.01517,0.01542,0.04098,0.01393,0.04202,0.04763,0.0417,5.70221,5.55913,5.71054,22.95,14.36,22.13,16323,8157,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.0005,0.0005,0.01707,0.04821,0.01525,0.01592,0.0459,0.01417,0.04304,0.05225,0.04251,5.6491,5.41709,5.6626,22.63,14.67,22.19,17628,6852,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.0005,0.0001,0.01721,0.04816,0.0154,0.01601,0.0459,0.01427,0.04303,0.05225,0.04249,5.60715,5.38062,5.62033,22.45,13.86,22.07,18543,5937,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.0005,0.00005,0.01718,0.04877,0.01534,0.01601,0.04672,0.01422,0.04297,0.05328,0.04237,5.60009,5.37725,5.61306,22.32,13.67,22.01,18706,5774,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.0001,0.003,0.01686,0.04753,0.01508,0.01551,0.04426,0.01384,0.042,0.05026,0.04152,5.70146,5.55732,5.70985,22.82,14.23,22.07,16320,8160,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.0001,0.0005,0.01709,0.04985,0.01518,0.01587,0.04672,0.01407,0.04293,0.05316,0.04233,5.64823,5.41641,5.66173,22.57,14.8,22.13,17627,6853,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.0001,0.0001,0.01727,0.05058,0.01533,0.01601,0.04754,0.01417,0.04297,0.05419,0.04232,5.60655,5.38144,5.61966,22.32,13.98,21.94,18535,5945,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.0001,0.00005,0.01721,0.05051,0.01527,0.01596,0.04754,0.01412,0.04286,0.05419,0.0422,5.59909,5.3768,5.61203,22.19,13.86,21.88,18705,5775,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.0001,0.000005,0.0174,0.05053,0.01547,0.0161,0.04754,0.01427,0.04346,0.05419,0.04283,5.58699,5.37451,5.59936,22.01,13.79,21.69,18959,5521,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.00005,0.003,0.01682,0.04753,0.01504,0.01546,0.04426,0.01379,0.04195,0.05026,0.04147,5.70161,5.55844,5.70995,22.95,14.23,22.19,16320,8160,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.00005,0.0005,0.01708,0.04985,0.01518,0.01587,0.04672,0.01407,0.04293,0.05316,0.04233,5.64835,5.41686,5.66183,22.7,14.8,22.26,17628,6852,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.00005,0.0001,0.01727,0.05058,0.01533,0.01601,0.04754,0.01417,0.04297,0.05419,0.04232,5.60681,5.38378,5.61979,22.38,14.04,22.01,18531,5949,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.00005,0.00005,0.01721,0.05051,0.01527,0.01596,0.04754,0.01412,0.04286,0.05419,0.0422,5.59899,5.37913,5.61179,22.19,13.92,21.88,18705,5775,24480==24480.0
AmazonOffice,VAECF,5%,20%,CP,0.00005,0.000005,0.01739,0.05053,0.01547,0.0161,0.04754,0.01427,0.04346,0.05419,0.04283,5.58672,5.37565,5.59901,22.01,13.79,21.69,18960,5520,24480==24480.0
